objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1976-0229_3-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_4-6;Design Museum Gent;tegel;Rechthoekige geel-oranje wandtegel;"Rechthoekige geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_5-6;Design Museum Gent;tegel;Rechthoekige gele wandtegel;"Rechthoekige geglazuurde en geel geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0229_6-6;Design Museum Gent;tegel;Rechthoekige gele wandtegel;"Rechthoekige geglazuurde en geel geëngobeerde witbakkende aardewerken wandtegelGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0230_0-4;Design Museum Gent;tegel;Vier vierkante okergele-bruine wandtegels;"Vier vierkante geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegelsGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0230_1-4;Design Museum Gent;tegel;Vierkante okergeel-bruine wandtegel met stippen in de hoeken;"Vierkante geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegel met stippen in de hoekenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0230_2-4;Design Museum Gent;tegel;Vierkante okergeel-bruine wandtegel met stippen in de hoeken;"Vierkante geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegel met stippen in de hoekenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0230_3-4;Design Museum Gent;tegel;Vierkante okergeel-bruine wandtegel met stippen in de hoeken;"Vierkante geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegel met stippen in de hoekenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0230_4-4;Design Museum Gent;tegel;Vierkante okergeel-bruine wandtegel met stippen in de hoeken;"Vierkante geglazuurde en roodbruin geëngobeerde witbakkende aardewerken wandtegel met stippen in de hoekenGemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;ForgesForges
1976-0246;Design Museum Gent;vaas;Vaas;"Peervormige vaas in witbakkend aardewerk met gele en bruine glazuur over een decoratie in gele (?) en donkerbruine engobes. Op de wand van de vaas bevinden zich enkele uitgelengde slingerende S-vormige siermotieven die de uitgelengde peervorm van het object sterker accentueren. Een vaas met een identieke vorm en afmetingen maar met een andere kleur glazuur werd in 1976 door Thyl van de Velde, zoon van Henry van de Velde, geschonken aan het museum (inv.nr. 76/224).Gemaakt door Finch in het kelder-atelier bij Henry van de velde in diens villa 'Bloemenwerf'. (Bron:  ""de Art Nouveau verzameling uit het Museum voor Sierkunst te Gent"")";1895;1897;Finch, Alfred WilliamFinch, Alfred William;ontwerperuitvoerder;Forges
1977-0002;Design Museum Gent;vaas;Vaas met margrieten;"Bolronde glazen vaas met drielobbige halsopening. De vaas is vervaardigd onregelmatig gevlekt glas in oranje-bruine tinten. Aan drie zijden is een margriet met hangende bladeren in een medaillon in emailverf geschilderd. Aan de halsrand zijn aan de deuken halve korenbloemen geschilderd. Vegetale slierten grijpen vanuit de korenbloemen de medaillons vast. De halsrand is afgezet met een gouden rand.
";1910;1914;Legras, François ThéodoreLegras & Cie;ontwerperuitvoerder;Saint-Denis (Parijs)Saint-Denis (Parijs)
1977-0013;Design Museum Gent;vaas;Vaas met landschap;"Afgeplatte ronde vaas in pâte de verre met vernauwde hals en kelkvormige halsopening. Het lichaam van de vaas is gedecoreerd met een geëtst landschap in groentinten op een haast witte ondergrond. Op de voorgrond van het landschap staat een grote loofboom, die een doorzicht biedt op een meer.
De combinatie van dit decor en model van Gallé is in meerdere kleurschakeringen uitgevoerd en was populair. Het decor komt ook op andere modellen voor.
";1906;1914;Cristallerie Gallé;uitvoerder;Nancy
1977-0014;Design Museum Gent;vaas;Vaas met landschap;Gedrongen enigszins afgeplatte bolle vaas in pâte de verre met korte rechte hals. Het lichaam van de vaas is gedecoreerd met een geëtst landschap in grijsbruine tinten op een zalmroze ondergrond. Op de voorgrond van het landschap staat een grote loofboom, die een doorzicht biedt op een meer.;1904;1920;Gallé, EmileCristallerie Gallé;ontwerperuitvoerder;NancyNancy
1977-0015;Design Museum Gent;beeldje;Ijsbeer;Beeldje van een staande ijsbeer, naturalistisch weergegeven. De ijsbeer draagt het modelnummer 1692.;19091915;19101947;Nielsen, NielsBing & Grøndahl;ontwerperuitvoerder;KopenhagenKopenhagen
1977-0019_0-3;Design Museum Gent;gordijnstof;Sorrento;Drie lappen gordijnstof met hetzelfde patroon van twee opvliegende meeuwen en een verschillende kleurstelling. De stoffen maken deel uit van de 'Master Painters Collection'.;19751977;1977;Landuyt, OctaveTexoprint;ontwerperuitvoerder;Enschede
1977-0019_1-3;Design Museum Gent;gordijnstof;Sorrento;Het patroon van deze lap gordijnstof vertoont een compositie met twee opvliegende meeuwen. De kleurstelling bestaat uit beige, zwart, bruin, oranje, mosgroen, middengroen, wit. Patroonnr.: 409/26612-502.;19751977;1977;Landuyt, OctaveTexoprint;ontwerperuitvoerder;Enschede
1977-0019_2-3;Design Museum Gent;gordijnstof;Sorrento;Het patroon van deze lap gordijnstof vertoont een compositie met twee opvliegende meeuwen. De kleurstelling bestaat uit lichtgrijs, zwart, zalmroze, geel, grijs-groen, donkerbeige, wit. Patroonnr.: 409/26612-503;19751977;1977;Landuyt, OctaveTexoprint;ontwerperuitvoerder;Enschede
1977-0019_3-3;Design Museum Gent;gordijnstoflap;Sorrento;"Het patroon van deze lap gordijnstof vertoont een compositie met twee opvliegende meeuwen.
De kleurstelling bestaat uit lichtbeige, zwart, oranje, mosgroen, mosterdgeel, grijs, wit. Patroonnr.: 409/26612-501 of 503";19751977;1977;Landuyt, OctaveTexoprint;ontwerperuitvoerder;Enschede
1977-0031;Design Museum Gent;wijnglas;Wijnglas;"Wijnglas met op de wanden een gegraveerd zweepslagmotief.
Léon Ledru ontwierp dit glas voor Val-Saint-Lambert. Hij uitte zich hierin als een gelijkdenkende van Henry van de Velde, die zijn ontwerpen toejuichte.
Met dank aan prof. dr. Werner Adriaenssens, conservator Decoratieve Kunsten 20ste eeuw Koninklijke Musea voor Kunst en Geschiedenis Brussel, voor de informatie";1897;1898;Ledru, LéonVal-Saint-Lambert;ontwerperuitvoerder;Luik (stad)Seraing
1977-0090;Design Museum Gent;kast;Halfbuffet met barokke snijwerk en geometrisch lijstwerk;Deze kast met één lade boven twee deuren is verdeeld met drie consoles met engelen- en vrouwenhoofden en torso's. Elke deur is opgesmukt met geometrisch lijstwerk rond een ruitvorm. Deze versiering en de knorren zijn kenmerkend voor de barok, net zoals de lade met knorren en  leeuwenkoppen. Hoewel het buffet stilistisch teruggaat op buffetten uit de eerste helft van de 17de eeuw, werd dit exemplaar vervaardigd in de 19de eeuw. Vergelijkbare kasten zijn te vinden in de collecties van het Rubenshuis en het Snijders & Rockoxhuis in Antwerpen, het Museum Antoine Vivenal in Compiègne en het Onze-Lieve-Vrouwehospitaal in Kortrijk. ;1800;1899;onbekendonbekend;ontwerperuitvoerder;NederlandenNederlanden
1978-0030;Design Museum Gent;po;Po;Faience po met één oor. Onder de bovenrand is een slingerend lint in halfreliëf uitgewerkt, dat in paarse schakeringen is geschilderd. Het lint loopt door over het oor en naar de onderrand. Tussen de kronkels van het lint zijn hier en daar bloemen te ontwaren.;1900;"";Mehlem, Steingutfabrik und Kunsttöpferei Franz Anton;uitvoerder;Bonn
1978-0043_0-2;Design Museum Gent;nachttafel;Twee nachttafels voor Villa Les Glycines;Paar nachttafels in pitch pine met bronzen handgrepen naar ontwerp van Paul Hankar voor de cottage Les Glycines van Philippe Wolfers.;18991900;19001901;Hankar, PaulonbekendWolfers, Philippe;ontwerperuitvoerderopdrachtgever;Brussel
1978-0043_1-2;Design Museum Gent;nachttafel;Nachttafel voor Villa Les Glycines;Nachttafel in pitch pine met bronzen handgrepen naar ontwerp van Paul Hankar voor de cottage Les Glycines van Philippe Wolfers.;18991900;19001901;Hankar, PaulonbekendWolfers, Philippe;ontwerperuitvoerderopdrachtgever;Brussel
1978-0043_2-2;Design Museum Gent;nachttafel;Nachttafel voor Villa Les Glycines;Nachttafel in pitch pine met bronzen handgrepen naar ontwerp van Paul Hankar voor de cottage Les Glycines van Philippe Wolfers.;18991900;19001901;Hankar, PaulonbekendWolfers, Philippe;ontwerperuitvoerderopdrachtgever;Brussel
1978-0102_0-5;Design Museum Gent;buste;Bureaukraten;Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0102_1-5;Design Museum Gent;buste;Buste uit de reeks 'Bureaukraten';Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0102_2-5;Design Museum Gent;buste;Buste uit de reeks 'Bureaukraten';Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0102_3-5;Design Museum Gent;buste;Buste uit de reeks 'Bureaukraten';Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0102_4-5;Design Museum Gent;buste;Buste uit de reeks 'Bureaukraten';Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0102_5-5;Design Museum Gent;buste;Buste uit de reeks 'Bureaukraten';Achiel Pauwels heeft in zijn werk bijzondere aandacht voor humor en fysionomie. Dat resulteerde vanaf 1965 in een aantal reeksen met karikaturale voorstellingen van bureaucraten, generaals, vorstinnen en andere prominente figuren. Kenmerkend zijn de sterke profilering van het gezicht en de kledij, de dynamische houding en de reliëfwerking met licht- en schaduweffecten.;1978;1978;Pauwels, Achiel;ontwerper;""
1978-0103;Design Museum Gent;buste;Garuda;Als reactie tegen het modieuze gebruik van metaalglazuren experimenteerde Carmen Dionyse vanaf 1965 met lichte, heldere glazuren. Ze creëerde onder meer paarse, groene, gele en witte glazuren, roestglazuren, korstglazuren en kristalglazuren. Deze variëteit wendde ze aan in een reeks mythologisch geïnspireerde bustes in ruw uitgewerkte klei. Deze buste van de mensvogel Garuda, een wezen uit de hindoeïstische mythologie, bestaat uit hooggebrand wit aardewerk met gekleurd korst- en kristalglazuur. Op de borstkas komen paarse, witte, bruine, beige en gele glazuren voor. Op de kap vallen de mosgroene en blauwe kleuren op. De ruwe kleirepen geven het gezicht een maskerachtig karakter.;1973;1973;Dionyse, CarmenDionyse, Carmen;ontwerperuitvoerder;""
1979-0002;Design Museum Gent;wandkast;Wandkast voor Woning Ciamberlani;Buffet- annex bibliotheekkast ontworpen en vervaardigd voor het woonhuis van kunstschilder Albert Ciamberlani aan de Defacqzstraat te Elsene, eveneens ontworpen door Hankar.;1897;1897;Hankar, PaulHankar, Paul;ontwerperuitvoerder;BrusselBrussel
1979-0010;Design Museum Gent;vaas;Vaas;"Enigzins gedrukte steengoed vaas met loopglazuur. Het oppervlak is glad en egaal donkerbruin. Vanaf de hals druipt een onregelmatige dikke witte glazuur langs de buik naar beneden.
Jean Pointu was sterk geïnspireerd door de oosterse keramiek, wat zich uit in zowel de glazuren als de soberheid van vorm.";1906;1918;Pointu, JeanPointu, Jean;ontwerperuitvoerder;Saint-Amand-en-PuisayeSaint-Amand-en-Puisaye
1979-0011;Design Museum Gent;vaas;Vaas in montuur;"De glasmanufactuur die onder de naam Johann Lötz Witwe bekend zou worden, ontstond in 1836 en werd al gauw de belangrijkste Boheemse glasfabriek van de late 19de en vroege 20ste eeuw. Geïnspireerd door  de Amerikaanse designer Louis Comfort Tiffany (1848-1933) ontwikkelde de firma een veelzijdige productie van art-nouveauglas. Bekende ontwerpers als Koloman Moser (1868-1918), Josef Hoffmann (1870-1956) en Michael Powolny (1871-1954) tekenden ontwerpen voor de glasmanufactuur.
De glazen vaas met iriserend decor in hoofdzakelijk groene tinten heeft de vorm van een wijde bloemkelk met gelobde rand. Ze is gevat in een messing houder met gestileerd vegetaal decor dat de bloemvorm benadrukt.
Het type past in een reeks van bloemvormige vazen die het huis in 1906-1907 produceerde. De vorm van de vaas stemt overeen met het modelnummer 4423. Op de patroonuitsnede is de vaas echter verankerd in een glazen voet, opgebouwd als staven die bijeen gehouden worden door een touw. Mogelijk behoort de glazen voet tot een reeks die ontworpen is door de toenmalige directeur van de glasfabriek, Eduard Prochaska. Of dit ook zou gelden voor de kelk is niet te zeggen.
";1906;1907;Glasfabrik Johan Loetz-Witwe;uitvoerder;Klášterský Mlýn (voormalig Klostermühle)
